character,dialog,movie
Pippin,They called us out to fight.,The_Return_of_the_King
Gandalf,This is no place for a Hobbit! Guard of the Citadel indeed! Now back up the hill quickly. Quick!,The_Return_of_the_King
Gothmog,What are you doing you useless scum?,The_Return_of_the_King
Orc,The door wont give. It's too strong.,The_Return_of_the_King
Theoden,I take my leave.,The_Return_of_the_King
Aragorn,My lord Elrond.,The_Return_of_the_King
Elrond,I come on behalf of one whom I love. Arwen is dying. She will not long survive the evil that now spreads from Mordor. The light of the evenstar is failing. As Sauron's power grows her strength wanes. Arwen's life is now tied to the fate of the Ring. The Shadow is upon us Aragorn. The end has come.,The_Return_of_the_King
Aragorn,"It will not be our end, but his.",The_Return_of_the_King
Elrond,"You ride to war but not to victory. Sauron's armies ride on Minas Tirith, this you know. But in secret he sends another force, which will attack, from the river. A fleet of Corsair ships sails from the South. They will be in the city in two days. You're outnumbered Aragorn. You need more men.",The_Return_of_the_King
Aragorn,There are none.,The_Return_of_the_King
Elrond,There are those that dwell in the mountain.,The_Return_of_the_King
Aragorn,"Murderers, traitors. You would call upon them to fight? They believe in nothing. They answer to no one.",The_Return_of_the_King
Elrond,"They will answer to the King of Gondor. And'ril, the Flame of the West, forged from the shards of Narsil.",The_Return_of_the_King
Aragorn,Sauron will not have forgotten the sword of Elendil. The blade that was broken shall return to Minas Tirith.,The_Return_of_the_King
Elrond,The man who can wield the power of this sword can summon to him an army more deadly than any that walks this earth. Put aside the Ranger. Become who you were born to be 'nen i-Estel Edain.,The_Return_of_the_King
Aragorn,'-chebin Estel anim.,The_Return_of_the_King
Eowyn,Why are you doing this? The war lies to the East. You cannot leave on the eve of battle. You cannot abandon the men.,The_Return_of_the_King
Pippin,What were you thinking Peregrin Took? What service can a Hobbit offer such a great lord of men?,The_Return_of_the_King
Faramir,It was well done. A generous deed should not be checked with cold counsel. You are to join the tower guard.,The_Return_of_the_King
Pippin,I didn't think they would find any livery that would fit me.,The_Return_of_the_King
Faramir,It once belonged to a young boy of the city. A very foolish one who wasted many hours slaying dragons instead of attending his studies.,The_Return_of_the_King
Pippin,This was yours?,The_Return_of_the_King
Faramir,"Yes, it was mine. My father had it made for me.",The_Return_of_the_King
Gothmog,Get back there and smash it down!,The_Return_of_the_King
Orc,But nothing can breach it!,The_Return_of_the_King
Gothmog,Grond will breach it! Bring out the wolf's head.,The_Return_of_the_King
Orcs,"Grond, Grond, Grond, Grond, Grond! Grond, Grond, Grond, Grond!",The_Return_of_the_King
Aragorn,Eowyn',The_Return_of_the_King
Eowyn,We need you here.,The_Return_of_the_King
Aragorn,Why have you come?,The_Return_of_the_King
Eowyn,Do you not know?,The_Return_of_the_King
Aragorn,It is but a shadow and a thought that you love. I cannot give you what you seek. I have wished you joy since first I saw you.,The_Return_of_the_King
Gimli,Just where do you think you're off to?,The_Return_of_the_King
Aragorn,Not this time. This time you must stay Gimli.,The_Return_of_the_King
Gimli,Hmmmm.,The_Return_of_the_King
Legolas,Have you learnt nothing of the stubbornness of dwarves?,The_Return_of_the_King
Gimli,You might as well accept it. We're going with you laddie. Aragorn smiles.,The_Return_of_the_King
Soldier,"What's happening, where is he going? I don't understand. (,) Lord Aragorn! Why does he leave on the eve of battle?",The_Return_of_the_King
Gamling,He leaves because there is no hope.,The_Return_of_the_King
Theoden,He leaves because he must.,The_Return_of_the_King
Pippin,"Well, I'm taller than you were then. Though, I'm not likely to grow anymore, except sideways.",The_Return_of_the_King
Faramir,"It never fitted me either. Boromir was always the soldier. They were so alike he and my father. Proud, stubborn even, but strong.",The_Return_of_the_King
Pippin,"I think you have strength of a different kind. And one day your father will see it. Here do I swear fealty and service to Gondor in peace or war, in living or dying, from ' from this hour henceforth until my lord release me or death take me.",The_Return_of_the_King
